Date,Inbound,Outbound
5/5/2020,695264.23,3017280.28
5/5/2020,644061.66,5330230.75
5/5/2020,624608.33,3715591.15
5/5/2020,888451.66,5911407.47
5/5/2020,2557914.43,47286588.06
5/5/2020,3373442.12,51304275.37
5/5/2020,1872897.76,29815651.47
5/6/2020,1347398.03,44582587.42
5/6/2020,1356058.9,50534691.54
5/6/2020,406044.57,4002181.7
5/6/2020,2034706.84,44967531.61
5/6/2020,2935730.65,48467374.13
5/6/2020,2726554.28,44931516.27
5/6/2020,2050033.21,25281869.46
5/6/2020,1232863.26,13101037.3
5/6/2020,1108713.99,13336789.92
5/6/2020,847299.26,8866686.2
5/6/2020,1435354.53,8992143.98
5/6/2020,1040873.44,15576631.27
5/7/2020,3189319.46,10547976.18
5/7/2020,535779.31,5546257.18
5/7/2020,652699.25,9580713.75
5/7/2020,856682.11,6453970.94
5/7/2020,780622.13,5552059.64
5/7/2020,1480387.73,5775286.17
5/7/2020,920149.44,8457409.5
5/7/2020,1049578.8,9232800.79
5/7/2020,1313518.39,10992381.27
5/7/2020,904554.12,5948906.84
5/7/2020,1571699.06,10624934.59
5/7/2020,1205055.5,12703420.77
5/8/2020,791295.57,10904261.6
5/8/2020,727558.23,15579227.1
5/8/2020,656827.02,4358957.47
5/8/2020,637940.8,3014060.8
5/8/2020,679657.08,3363594.36
5/8/2020,828186.57,6967275.7
5/8/2020,966042.98,6136407.56
5/8/2020,1016698.16,11037007.7
5/8/2020,1033593.92,8722479.94
5/8/2020,904598.67,11077530.45
5/8/2020,868554.43,13254841.21
5/8/2020,1138466.1,12839776.37
5/9/2020,637586.97,7837442.13
5/9/2020,559180.86,3470189.09
5/9/2020,586894.28,5979556.94
5/9/2020,549212.41,2967209.01
5/9/2020,747916.76,11218005.2
5/9/2020,714931.42,7437019.01
5/9/2020,846954.68,8578625.79
5/9/2020,1118825.15,7412076.87
5/9/2020,777126.02,5993534.48
5/9/2020,932970.74,12571188.72
5/9/2020,1441049.17,17303886.41
5/9/2020,2308121.27,11767195.66
5/10/2020,1300093.68,8853817.54
5/10/2020,1111428.14,14084053.45
5/10/2020,1145732.15,11376386.21
5/10/2020,1351954.22,7039183.76
5/10/2020,1330954.72,6167323.1
5/10/2020,1034380.59,8813426.57
5/10/2020,1980899.02,7463327.5
5/10/2020,2196730.18,7345805.63
5/10/2020,1186378.58,9435650.94
5/10/2020,1846641.58,9942398.76
5/10/2020,1665503.71,13847285.38
5/10/2020,1316456.77,24666005.58
5/11/2020,1283858.52,11281153.53
5/11/2020,500210.15,5920442.21
5/11/2020,383337.3,2476397.43
5/11/2020,418751.73,1994753.66
5/11/2020,3183916.25,3531966.68
5/11/2020,931270.87,6141192.04
5/11/2020,3566889.62,7388651.44
5/11/2020,760509.03,6133972.71
5/11/2020,752043.75,7267381.83
5/11/2020,2044436.77,4682007.61
5/11/2020,1326344.23,7679325.6
5/11/2020,645347.66,9685451.04
5/12/2020,439751.55,5320817.01
5/12/2020,386843.21,2503958.48
5/12/2020,492776.64,6652248.06
5/12/2020,604973.09,3570402.98
5/12/2020,512809.48,3629945.9
5/12/2020,647831.02,6029268.47
5/12/2020,868524.59,10721177.17
5/12/2020,1043514.58,16569089.2
5/12/2020,824923.87,14213421.47
5/12/2020,1036333.43,15447786.87
5/12/2020,1083581.65,19203502.18
5/12/2020,1330050.28,24482693.38
5/13/2020,503322.09,6494953.19
5/13/2020,563724.16,13318272.53
5/13/2020,491013.73,6846561.34
5/13/2020,513111.69,2185452.28
5/13/2020,650574.09,3203571.11
5/13/2020,843774.21,5524881.3
5/13/2020,1209636.98,6194469.47
5/13/2020,849544.2,6496674.05
5/13/2020,969279.22,7673674.43
5/13/2020,967661.02,5463913.74
5/13/2020,662788.51,4829028.81
5/13/2020,1483496.76,10991317.01
5/14/2020,1628564.59,10099641.58
5/14/2020,414023.96,2967529.65
5/14/2020,539938.44,6213968.27
5/14/2020,503418.72,2845505.06
5/14/2020,834934.44,2861802.91
5/14/2020,581562.39,3801821.79
5/14/2020,1655076.68,32638035.31
5/14/2020,697762.67,7035763.36
5/14/2020,716199.96,6273118.7
5/14/2020,868969.43,8756925.98
5/14/2020,911384.92,18534037.18
5/14/2020,1363611.73,14892951.35
5/15/2020,589291.43,11026768.3
5/15/2020,507384.55,9722915.27
5/15/2020,575722.87,9320772.84
5/15/2020,568703.12,5443736.25
5/15/2020,637568.61,4270327.29
5/15/2020,478239.93,2993618.92
5/15/2020,734876.14,5204258.1
5/15/2020,609717.83,3913773.6
5/15/2020,690391.36,6933136.66
5/15/2020,715603.24,7107090
5/15/2020,2242327.26,21008033.18
5/15/2020,1219595.27,18429060.49
5/16/2020,691116.51,12526576.96
5/16/2020,547141.76,10282082.18
5/16/2020,564175.63,10147442.98
5/16/2020,531446.19,5311103.35
5/16/2020,427864.94,2267453.81
5/16/2020,975904.29,5496410.05
5/16/2020,829724.11,5389542
5/16/2020,578135.85,4963796.56
5/16/2020,598649.93,3186088.35
5/16/2020,1002912.54,4149964.37
5/16/2020,890177.04,13866365.93
5/16/2020,972056.95,13998153.62
5/17/2020,734949.6,9425552.44
5/17/2020,3004569.34,14171790.93
5/17/2020,31540383.33,9372076.24
5/17/2020,495723.97,2361786.95
5/17/2020,563994.07,3219821.95
5/17/2020,564533.54,2530197.69
5/17/2020,769120.99,2339909.57
5/17/2020,729821.26,3042576.04
5/17/2020,727558.46,3166844.26
5/17/2020,870542.81,7223367.1
5/17/2020,1161687.04,15082803.98
5/17/2020,1905757.04,20616485.03
5/18/2020,637274.8,5768260.67
5/18/2020,519110.94,5216667.36
5/18/2020,590097.27,7970196.6
5/18/2020,542530.94,5207901.3
5/18/2020,733963.93,6583865.19
5/18/2020,800825.46,6688863.08
5/18/2020,1094613.29,12489274.24
5/18/2020,1307838.57,17929465.23
5/18/2020,1286422.3,16404579.64
5/18/2020,1815458.67,18312765.36
5/18/2020,4436308.7,14451278.99
5/18/2020,978545.03,13845857.16
5/19/2020,2030856.98,9272664.09
5/19/2020,668935.35,5678673.9
5/19/2020,588753.27,4386205.15
5/19/2020,675556.1,7255622.06
5/19/2020,678349.33,6089674.27
5/19/2020,865978.37,7425583.53
5/19/2020,1128530.45,12313426.69
5/19/2020,1819686.24,35951852.39
5/19/2020,2530123.68,69122487.25
5/19/2020,1002224.83,14441370.98
5/19/2020,1317509.51,14633330.99
5/19/2020,1563757.58,18948384.08
5/20/2020,1199297.85,18543665.93
5/20/2020,1433626.84,33015151.88
5/20/2020,1038455.69,22720874.76
5/20/2020,1120577.48,20994749.14
5/20/2020,977195.69,10924637.63
5/20/2020,1291758.87,12707563.76
5/20/2020,1471505.11,14029083.29
5/20/2020,1172545.4,12328981.52
5/20/2020,3349633.04,15500733.61
5/20/2020,1947921.67,25565746.04
5/20/2020,1707696.67,24757126.28
5/20/2020,1536911.49,15168240.09
5/21/2020,797580.59,11446763.22
5/21/2020,1074281.01,7351787.35
5/21/2020,692415.67,3453681.5
5/21/2020,993429.37,11410301.61
5/21/2020,1069257.19,9100085.41
5/21/2020,886198.38,5926768.64
5/21/2020,1294516.69,13958241.31
5/21/2020,1441597.74,16647254.28
5/21/2020,1451143.29,22600533.83
5/21/2020,1683061.02,25348361.57
5/21/2020,6532572.61,24509244.89
5/21/2020,1252864.7,14778717.64
5/22/2020,883227.42,13357961.35
5/22/2020,693453.24,10395106.88
5/22/2020,534871.16,6512262.9
5/22/2020,632660.6,7625214.36
5/22/2020,554379.1,3319832.09
5/22/2020,686447,7238134.03
5/22/2020,900148.51,10909437
5/22/2020,876352.56,6004071.68
5/22/2020,865202.53,9971561.51
5/22/2020,909605.83,6737000.45
5/22/2020,1206027.23,13819677.15
5/22/2020,1574287.27,36224879.22
5/23/2020,2384672.95,13674146.98
5/23/2020,996022.72,16840349.78
5/23/2020,607456.99,9049873.34
5/23/2020,4751045.69,3189695.8
5/23/2020,1272646.39,7768790.19
5/23/2020,1681947.01,19418192.45
5/23/2020,1324511.3,11464283.78
5/23/2020,1294852.86,12285509.23
5/23/2020,1797486.3,31799978.56
5/23/2020,2519873.95,55342099.08
5/23/2020,3045640.47,49200990.37
5/23/2020,2060705.51,42519924.73
5/24/2020,2177953.93,56357959.87
5/24/2020,1597503.42,49712250.03
5/24/2020,1556172.2,47833644.09
5/24/2020,606618.06,10793412.02
5/24/2020,734830.93,5958663.64
5/24/2020,830882.87,4858590.86
5/24/2020,891379.37,8887737.95
5/24/2020,883113.22,6645180.95
5/24/2020,1002979.55,9268054.6
5/24/2020,1072036.17,8245665.94
5/24/2020,3014292.99,14701739.93
5/24/2020,1087822,15036326.02
5/25/2020,704719.72,13091946.06
5/25/2020,588546.88,7469887.49
5/25/2020,554427.98,5504412.4
5/25/2020,576395.44,5227982.06
5/25/2020,773765.85,8780291.94
5/25/2020,1014106.46,17547463.87
5/25/2020,2169389.38,57614884.47
5/25/2020,1370997.85,28863241.91
5/25/2020,1222006.81,17717709.8
5/25/2020,2524961.06,41975926.91
5/25/2020,3778365.45,40229769.83
5/25/2020,2409459.49,26208477.8
5/26/2020,730793.13,3601723.1
5/26/2020,575932.43,3526168.15
5/26/2020,567113.23,5339314.21
5/26/2020,857919.24,10664593.81
5/26/2020,819488.62,4215705.67
5/26/2020,835713.45,6902713.42
5/26/2020,4110146.4,12468988.43
5/26/2020,1053894.93,11836544.81
5/26/2020,1643880.5,30803310.87
5/26/2020,1355028.46,19780945.22
5/26/2020,2912385.87,26344577.72
5/26/2020,1553814.82,31764082.16
5/27/2020,1389435.68,22741357.61
5/27/2020,795080.08,15629647.49
5/27/2020,784638.69,12041267.3
5/27/2020,908070.8,12989678.85
5/27/2020,901446.47,6931455.65
5/27/2020,1083025.61,20745530.15
5/27/2020,1546829.07,29683247.92
5/27/2020,1223597.82,16281727.9
5/27/2020,2693582.74,16283509.5
5/27/2020,1747529.36,23087299.44
5/27/2020,2448300.43,31694851.78
5/27/2020,13330639.25,36262700.85
5/28/2020,42038487.62,27094783.89
5/28/2020,847144.86,15250912.32
5/28/2020,15591496.15,9943051.77
5/28/2020,975639.13,13111343.89
5/28/2020,1918290.24,12556530.1
5/28/2020,898459.82,10760909.15
5/28/2020,1020567.53,13370587.49
5/28/2020,1788308.68,16329298.4
5/28/2020,1687008.21,21295515.03
5/28/2020,2497114.4,42684053.81
5/28/2020,1659964.07,32320876.22
5/28/2020,1138958.6,25145110.56
5/29/2020,1006173.23,21010722.26
5/29/2020,569882.02,4089317.89
5/29/2020,479892.77,2913646.63
5/29/2020,807165.16,4456485.35
5/29/2020,1526522.03,3714670.72
5/29/2020,710401.34,3887987.33
5/29/2020,847239.4,7230873.46
5/29/2020,1045241.42,8280489.62
5/29/2020,1263131.19,8967169.97
5/29/2020,1395315.06,12138619.15
5/29/2020,1721848.68,16515079.31
5/29/2020,6545235.83,20885850.09
5/30/2020,35536740.32,13350413.85
5/30/2020,868675.65,8166892.72
5/30/2020,824725.93,8425393.96
5/30/2020,1199526.63,10696396.73
5/30/2020,838997.3,7470053.79
5/30/2020,894317.16,8993764.74
5/30/2020,2110882.56,8292657.42
5/30/2020,2103383.33,8419006.99
5/30/2020,1414016.58,10286768.53
5/30/2020,2426216.03,12212357.8
5/30/2020,1345655.73,12920465.05
5/30/2020,4114408.35,11117344.82
5/31/2020,1317557.25,6231517.13
5/31/2020,657529.33,6326118.56
5/31/2020,505429.65,4873952.45
5/31/2020,601366.07,3089102.96
5/31/2020,514409.9,2518125.87
5/31/2020,1127562.45,2700964.64
5/31/2020,652592.93,5459493.9
5/31/2020,620489.62,4408140.16
5/31/2020,886638.09,9228079.09
5/31/2020,1091801.36,9120582.02
5/31/2020,1087506.21,6967674.96
5/31/2020,5225033.32,9256707.39
6/1/2020,1798198.67,9997800.03
6/1/2020,1938006.02,10905458.13
6/1/2020,10338417.06,7257221.17
6/1/2020,1020515.24,5807374.86
6/1/2020,1046070.98,4402011.42
6/1/2020,743364.26,5355895.04
6/1/2020,1797339.46,9534457.9
6/1/2020,948548.33,8466108.32
6/1/2020,813130.5,9024450.1
6/1/2020,1130807.94,8371484.13
6/1/2020,1445796.09,13747508.9
6/1/2020,1364080.99,15056836.04
6/2/2020,2001782.49,13671873.09
6/2/2020,697107.04,6955726.57
6/2/2020,13335424.88,6683292.86
6/2/2020,15363463.4,8389849.54
6/2/2020,798915.54,10746282.83
6/2/2020,1588341.82,12503713.63
6/2/2020,1586077.29,8940829.4
6/2/2020,978410.23,8886974.83
6/2/2020,1464017.22,9043191.68
6/2/2020,1103540.85,10881997.91
6/2/2020,2104306.88,9547119.36
6/2/2020,14951199.87,11387425.16
6/3/2020,919900.33,9498985.12
6/3/2020,645615.33,8869446.64
6/3/2020,499543.71,3804688.59
6/3/2020,526393.51,3767342.51
6/3/2020,768397.3,7771182.64
6/3/2020,678488.07,5837946.65
6/3/2020,2069092.31,6605948.57
6/3/2020,901797.94,8313999.96
6/3/2020,1191122.96,10092188.5
6/3/2020,1173391.51,8962555.78
6/3/2020,2032778.96,14981109.32
6/3/2020,1881980.19,13840828.15
6/4/2020,1712036.55,14173476.42
6/4/2020,542672.18,9563766.44
6/4/2020,548854.86,6577928.43
6/4/2020,510716.36,4326653.23
6/4/2020,715785.97,5998580.04
6/4/2020,699024.59,5640893.61
6/4/2020,790516.95,6624118.47
6/4/2020,999853.97,8788668.93
6/4/2020,777594.38,7293331.72
6/4/2020,1467607.36,9653223.57
6/4/2020,1109690.74,10346399.4
6/4/2020,1337040.5,11279030.48
6/5/2020,3178650.21,17277523.14
6/5/2020,700657.43,9258775.93
6/5/2020,639423.88,6663180.99
6/5/2020,1007933.74,11579041.61
6/5/2020,1534759.19,8650536.26
6/5/2020,NaN,NaN
